run_id,ts,mode,config,kv_dtype,model_key,gpu,idx,gold,pred,correct,latency_ms,out_sha1,out_len,gpu_kv_cache_tokens,n_shot,task,needle_depth,needle_depth_actual,needle_pos,prompt_tokens,desc,foreign_gpu_count,foreign_max_util,level,log
20260831-204132-m5-needle,2026-08-31T20:42:32.639684+08:00,needle,bf16,auto,qwen-awq,0,0,4266,4266,True,10969.3,1e5cffce835fd7ef,76,288576,0,needle,0.05,0.0492,1585,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:42:44.380940+08:00,needle,bf16,auto,qwen-awq,0,1,9408,9408,True,11484.9,ceb6e29ad045dede,384,288576,0,needle,0.05,0.0492,1585,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:42:56.216368+08:00,needle,bf16,auto,qwen-awq,0,2,8450,8450,True,11554.7,fcbe522110402b0a,295,288576,0,needle,0.05,0.0492,1585,32245,無損基準,6,98,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:43:08.393950+08:00,needle,bf16,auto,qwen-awq,0,3,8228,8228,True,11900.0,1bc455e870ca21fa,358,288576,0,needle,0.05,0.0492,1585,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:43:21.186432+08:00,needle,bf16,auto,qwen-awq,0,4,7681,7681,True,12512.1,59b507e05f82c7a3,584,288576,0,needle,0.25,0.2497,8053,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:43:31.899727+08:00,needle,bf16,auto,qwen-awq,0,5,7013,7013,True,10429.5,f937ee619585fa70,424,288576,0,needle,0.25,0.2497,8053,32245,無損基準,6,98,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:43:42.815798+08:00,needle,bf16,auto,qwen-awq,0,6,9215,9215,True,10648.4,ce985c27d04f00f5,398,288576,0,needle,0.25,0.2497,8053,32245,無損基準,6,98,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:43:53.996767+08:00,needle,bf16,auto,qwen-awq,0,7,7890,7890,True,10904.5,dc65bb63a406b65f,573,288576,0,needle,0.25,0.2497,8053,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:44:08.068617+08:00,needle,bf16,auto,qwen-awq,0,8,9434,9434,True,13787.0,ed7b99755008bbf1,700,288576,0,needle,0.5,0.4995,16105,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
20260831-204132-m5-needle,2026-08-31T20:44:15.798640+08:00,needle,bf16,auto,qwen-awq,0,9,5382,5382,True,7463.2,2826a06ea280780f,77,288576,0,needle,0.5,0.4995,16105,32245,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-204132-m5-needle/bf16/server.log
